Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-08-06 0:00:00,3243.5,3275,3232.07,3240.31,538.88,1753031.59,3253.07
2017-08-06 1:00:00,3249.42,3270,3229.76,3229.77,329.24,1070428.67,3251.24
2017-08-06 2:00:00,3229.77,3252.36,3195.79,3203.31,623.58,2005465.78,3216.06
2017-08-06 3:00:00,3203.31,3204,3170,3199.62,456.43,1456828.24,3191.79
2017-08-06 4:00:00,3199.63,3209.55,3185,3194.73,267.38,856103.01,3201.8
2017-08-06 5:00:00,3194.73,3197.49,3175,3189.02,319.21,1017263.9,3186.77
2017-08-06 6:00:00,3189.02,3209.13,3189.02,3208.25,185.15,593042.62,3203.04
2017-08-06 7:00:00,3208.25,3208.25,3150,3169.48,295.47,938820.8,3177.34
2017-08-06 8:00:00,3169.48,3175.03,3150.01,3169.43,259.45,820222.14,3161.4
2017-08-06 9:00:00,3169.44,3196.69,3167.51,3172.38,201.1,640148.59,3183.27
2017-08-06 10:00:00,3172.42,3180,3151.09,3170.01,124.79,395389.4,3168.46
2017-08-06 11:00:00,3170.42,3186.5,3151.6,3155,118.12,374594.9,3171.36
2017-08-06 12:00:00,3155,3194.66,3155,3186.47,195.88,623236.84,3181.73
2017-08-06 13:00:00,3186.47,3191.83,3165.43,3174.52,286.45,909253.97,3174.25
2017-08-06 14:00:00,3174.5,3225,3170,3216.65,492.96,1574826.09,3194.64
2017-08-06 15:00:00,3216.66,3228.2,3207.62,3222,359.63,1157548.81,3218.76
2017-08-06 16:00:00,3222,3270,3220,3250,749.15,2432596.48,3247.15
2017-08-06 17:00:00,3250,3270.1,3246.64,3260,478.68,1559816.82,3258.6
2017-08-06 18:00:00,3260,3266.99,3250,3250.43,249.26,811971.03,3257.48
2017-08-06 19:00:00,3250.43,3269,3250,3256.36,238.52,776744.72,3256.58
2017-08-06 20:00:00,3256.37,3278.42,3256.37,3264.54,511.81,1673367.15,3269.5
2017-08-06 21:00:00,3264.54,3264.54,3236,3259.99,506.85,1647091.58,3249.67
2017-08-06 22:00:00,3260,3265,3249.25,3251.3,277.18,902345.59,3255.4
2017-08-06 23:00:00,3251.3,3251.3,3203.52,3222.22,601.04,1939497.82,3226.92
2017-08-07 0:00:00,3222.22,3235.57,3210,3210.01,267.95,863787.42,3223.66
2017-08-07 1:00:00,3210.01,3220.37,3190,3201.2,322.13,1031548,3202.32
2017-08-07 2:00:00,3201.21,3224.26,3196.81,3218.51,258.17,829171.46,3211.77
2017-08-07 3:00:00,3218.52,3234.03,3217.77,3234.03,227.71,734475.04,3225.42
2017-08-07 4:00:00,3234.03,3234.03,3214.37,3218.32,168.64,543859.3,3225.04
2017-08-07 5:00:00,3218.32,3238.27,3217,3238.05,122.06,394210.2,3229.64
2017-08-07 6:00:00,3238.09,3242.22,3230.42,3235,130,420808.59,3236.9
2017-08-07 7:00:00,3234.99,3240,3224.53,3232.32,117.91,381199.4,3233.06
2017-08-07 8:00:00,3230.12,3257.99,3229.6,3257.19,143.38,464932.51,3242.76
